address,isHostedBySuperhost,name,numberOfGuests,pricing/rate/amountFormatted,primaryHost/badges/0,primaryHost/badges/1,primaryHost/firstName,primaryHost/memberSince,primaryHost/responseRate,primaryHost/smartName,roomType,url
"Karachi, Sindh, Pakistan",No,Hotels,16.0,$46,0 Reviews,Identity not verified,Asif,Joined in July 2019,0.0,Asif,Private room,https://www.airbnb.com/rooms/39808925
"Lahore, Punjab, Pakistan",No,House / Rooms available,2.0,$34,0 Reviews,Identity not verified,Muhammad,Joined in June 2018,0.0,Muhammad,Private room,https://www.airbnb.com/rooms/25595708
"Islamabad, Islamabad Capital Territory, Pakistan",No,"House in Zaraj, close to DHA and Bahria",2.0,$57,0 Reviews,Identity verified,Zeeshan,Joined in May 2021,0.0,Zeeshan,Entire place,https://www.airbnb.com/rooms/50038524
"Islamabad, Islamabad Capital Territory, Pakistan",No,House of Wabi Sabi ( Unlimited WIFI & Smart TV ),3.0,$37,147 Reviews,Identity verified,Flahat,Joined in December 2016,1.0,Flahat,Entire place,https://www.airbnb.com/rooms/33220194
"Lahore, Punjab, Pakistan",No,House with all amenities in DHA Lahore,2.0,$42,7 Reviews,Identity verified,Tafheem,Joined in April 2018,0.0,Tafheem,Private room,https://www.airbnb.com/rooms/40175425
"Lahore, Punjab, Pakistan",No,Humble abode,4.0,$23,2 Reviews,Identity verified,Muhammad tallal,Joined in September 2020,1.0,Muhammad Tallal,Private room,https://www.airbnb.com/rooms/45553912
"Islamabad, Islamabad Capital Territory, Pakistan",No,Hutch,5.0,$34,37 Reviews,Identity verified,Owais ahmad,Joined in December 2020,0.6,Owais Ahmad,Entire place,https://www.airbnb.com/rooms/48281538
"Karachi, Sindh, Pakistan",No,i can also pick you up from the Airport,2.0,$80,0 Reviews,Identity verified,Khurram,Joined in June 2020,0.0,Khurram,Private room,https://www.airbnb.com/rooms/43912808
"Lahore, Punjab, Pakistan",No,I Have Excellent Luxurious Rooms just for YOU!,4.0,$19,0 Reviews,Identity verified,Bilal,Joined in March 2021,0.0,Bilal,Private room,https://www.airbnb.com/rooms/48960490
"Karachi, Sindh, Pakistan",No,I provide a neat and clean rooms good staff etc,2.0,$29,1 Review,Identity not verified,Haydii,Joined in November 2018,0.0,Haydii,Private room,https://www.airbnb.com/rooms/34698494
"Lahore, Punjab, Pakistan",Yes,i1 - Cozy & Aesthetic Room - Backpacker Heaven,3.0,$24,130 Reviews,Identity verified,Hashim,Joined in July 2018,1.0,Hashim,Private room,https://www.airbnb.com/rooms/50284828
"Lahore, Punjab, Pakistan",Yes,i2 - Cozy & aesthetic room - Backpacker’s Heaven,3.0,$19,130 Reviews,Identity verified,Hashim,Joined in July 2018,1.0,Hashim,Private room,https://www.airbnb.com/rooms/53955403
"Karachi, Sindh, Pakistan",No,Ibis Lodge Guest House Khayaban-e-Mujahid DHA,15.0,$58,0 Reviews,Identity verified,Ali,Joined in October 2020,0.0,Ali,Private room,https://www.airbnb.com/rooms/46016570
"Karachi, Sindh, Pakistan",No,Ibis Lodge hotel khada market,2.0,$57,0 Reviews,Identity verified,Ali,Joined in October 2020,0.0,Ali,Private room,https://www.airbnb.com/rooms/46024458
"Lahore, Punjab, Pakistan",No,Ibrahim lodge,4.0,$56,0 Reviews,Identity verified,Shoaib,Joined in January 2020,0.0,Shoaib,Private room,https://www.airbnb.com/rooms/45140726
"Islamabad, Islamabad Capital Territory, Pakistan",No,Ideal location to stay in Islamabad (F6) (shared),1.0,$17,0 Reviews,Identity not verified,Manqad,Joined in August 2018,0.0,Manqad,Shared room,https://www.airbnb.com/rooms/35900817
"Lahore, Punjab, Pakistan",No,Ideal Rooms for Family & Couples,16.0,$23,0 Reviews,Identity verified,Imran,Joined in October 2019,0.0,Imran,Private room,https://www.airbnb.com/rooms/46650612
"Lahore, Punjab, Pakistan",No,Independent house,2.0,$25,1 Review,Identity verified,Shahbaz abid,Joined in December 2020,1.0,Shahbaz Abid,Entire place,https://www.airbnb.com/rooms/48019389
"Rawalpindi, Punjab, Pakistan",No,Independent House 03025550077,16.0,$34,2 Reviews,Identity verified,Raja,Joined in September 2018,0.67,Raja,Private room,https://www.airbnb.com/rooms/48782834
"Islamabad, Islamabad Capital Territory, Pakistan",No,Independent Studio at Rooftop with a view.,3.0,$40,146 Reviews,Identity verified,Amir,Joined in May 2019,1.0,Amir,Entire place,https://www.airbnb.com/rooms/39213509
"Islamabad, Islamabad Capital Territory, Pakistan",No,Indus House for comfortable stay,2.0,$57,0 Reviews,Identity not verified,Munir,Joined in July 2018,0.0,Munir,Private room,https://www.airbnb.com/rooms/26481369
"Lahore, Punjab, Pakistan",No,IonicApartment wooden Flooring Luxurious 1 BD Gulb,4.0,$23,63 Reviews,Identity verified,Hisham,Joined in August 2017,1.0,Hisham,Entire place,https://www.airbnb.com/rooms/47248799
"Islamabad, Islamabad Capital Territory, Pakistan",No,It is a very comfortable place n luxuries,4.0,$63,1 Review,Identity not verified,Farooq,Joined in August 2020,0.0,Farooq,Entire place,https://www.airbnb.com/rooms/45198390
"Lahore, Punjab, Pakistan",No,It's a decent place for workspace & quick travels,3.0,$21,0 Reviews,Identity verified,Bahlol khan,Joined in October 2018,0.0,Bahlol Khan,Private room,https://www.airbnb.com/rooms/47882735
"Lahore, Punjab, Pakistan",No,"Its a one bedroom spacious apartment with the best location possible in bahria town ,all best amminties available",2.0,$34,0 Reviews,Identity verified,Sheraz,Joined in August 2021,0.0,Sheraz,Entire place,https://www.airbnb.com/rooms/51920902
"Islamabad, Islamabad Capital Territory, Pakistan",No,"Jasmine Guest House, Islamabad.",16.0,$38,0 Reviews,Identity not verified,Jasmine,Joined in August 2020,0.0,Jasmine,Private room,https://www.airbnb.com/rooms/45135396
"Islamabad, Islamabad Capital Territory, Pakistan",No,Jason’s Executive,6.0,$74,40 Reviews,Identity verified,Hasan javed,Joined in July 2016,1.0,Hasan Javed,Entire place,https://www.airbnb.com/rooms/44585734
"Islamabad, Islamabad Capital Territory, Pakistan",No,Jaysons Premier,6.0,$78,40 Reviews,Identity verified,Hasan javed,Joined in July 2016,1.0,Hasan Javed,Entire place,https://www.airbnb.com/rooms/44533004
"Karachi, Sindh, Pakistan",No,Jeff’s Home DHA Private Room 1 UltraFast Internet,4.0,$46,187 Reviews,Identity verified,Muhammad,Joined in July 2012,0.7,Muhammad,Private room,https://www.airbnb.com/rooms/15259352
"Karachi, Sindh, Pakistan",No,Jeff’s Home DHA Private Room 3 UltraFast Internet,4.0,$47,187 Reviews,Identity verified,Muhammad,Joined in July 2012,0.7,Muhammad,Private room,https://www.airbnb.com/rooms/17950846
"Rawalpindi, Punjab, Pakistan",No,Jibralter Twin Room Luxury Suite,4.0,$76,15 Reviews,Identity verified,Maj (r) bilal,Joined in September 2017,0.0,Maj (R) Bilal,Entire place,https://www.airbnb.com/rooms/21162508
"Lahore, Punjab, Pakistan",No,Just think you are at home.,4.0,$34,0 Reviews,Identity not verified,Irum,Joined in December 2017,0.0,Irum,Private room,https://www.airbnb.com/rooms/22101487
"Karachi, Sindh, Pakistan",No,Karachi Bed  with TV and WiFi,2.0,$18,1 Review,Identity verified,Kaiser,Joined in August 2017,0.0,Kaiser,Private room,https://www.airbnb.com/rooms/27753012
"Karachi, Sindh, Pakistan",No,Karachi Bungalow,3.0,$30,0 Reviews,Identity verified,Harris,Joined in September 2018,0.0,Harris,Private room,https://www.airbnb.com/rooms/28652050
"Karachi, Sindh, Pakistan",No,Karachi Guest House,2.0,$32,0 Reviews,Identity verified,Farooq,Joined in March 2020,0.33,Farooq,Private room,https://www.airbnb.com/rooms/42921001
"Karachi, Sindh, Pakistan",No,Karachi Guest Houses Clifton,4.0,$29,0 Reviews,Identity not verified,Muneer,Joined in January 2021,0.0,Muneer,Private room,https://www.airbnb.com/rooms/47389841
"Karachi, Sindh, Pakistan",No,Karachi Inn Guest House,16.0,$19,0 Reviews,Identity verified,Muhammad,Joined in November 2021,0.6,Muhammad,Private room,https://www.airbnb.com/rooms/53124618
"Karachi, Sindh, Pakistan",No,KARACHI MOTEL,16.0,$34,0 Reviews,Identity not verified,Usama,Joined in November 2019,0.0,Usama,Private room,https://www.airbnb.com/rooms/40078217
"Karachi, Sindh, Pakistan",No,Karachi Vacation Rental,4.0,$63,1 Review,Identity not verified,Mahvash,Joined in September 2014,0.0,Mahvash,Private room,https://www.airbnb.com/rooms/51681234
"Islamabad, Islamabad Capital Territory, Pakistan",No,Karakoram Enclave 2,2.0,$71,0 Reviews,Identity verified,Hamza,Joined in March 2020,0.0,Hamza,Private room,https://www.airbnb.com/rooms/43178472
"Karachi, Sindh, Pakistan",No,Kehkashan guest house,16.0,$37,0 Reviews,Identity verified,Mujeeb ur rehman,Joined in March 2021,0.0,Mujeeb Ur Rehman,Private room,https://www.airbnb.com/rooms/48749068
"Karachi, Sindh, Pakistan",No,kehkashaninn guest house,11.0,$34,0 Reviews,Identity not verified,Raees,Joined in August 2021,0.0,Raees,Private room,https://www.airbnb.com/rooms/51615206
"Islamabad, Islamabad Capital Territory, Pakistan",Yes,Kensington,4.0,$35,131 Reviews,Identity verified,Syeda,Joined in September 2021,1.0,Syeda,Entire place,https://www.airbnb.com/rooms/54277798
"Lahore, Punjab, Pakistan",No,KFM Cottage,2.0,$14,3 Reviews,Identity verified,Faisal,Joined in October 2018,0.5,Faisal,Private room,https://www.airbnb.com/rooms/29214246
"Karachi, Sindh, Pakistan",No,Khalid ijaz,4.0,$57,0 Reviews,Identity not verified,Tooba,Joined in July 2018,0.0,Tooba,Private room,https://www.airbnb.com/rooms/27271697
"Islamabad, Islamabad Capital Territory, Pakistan",No,khyber lodge 2  (G-15 near ISB Airport),3.0,$14,5 Reviews,Identity not verified,Bakhtiar,Joined in November 2019,1.0,Bakhtiar,Private room,https://www.airbnb.com/rooms/40333230
"Lahore, Punjab, Pakistan",No,King Size 2-Bedrooms In ValenciaTown like ur homey,6.0,$19,0 Reviews,Identity verified,Farhat,Joined in December 2021,1.0,Farhat,Entire place,https://www.airbnb.com/rooms/54043879
"Lahore, Punjab, Pakistan",No,King size cozy suite with all facilities.,2.0,$50,0 Reviews,Identity verified,Asad,Joined in April 2021,0.0,Asad,Private room,https://www.airbnb.com/rooms/54142561
"Islamabad, Islamabad Capital Territory, Pakistan",No,Kings B n B,3.0,$80,40 Reviews,Identity verified,Hasan javed,Joined in July 2016,1.0,Hasan Javed,Private room,https://www.airbnb.com/rooms/28768286
"Islamabad, Islamabad Capital Territory, Pakistan",No,Kings B&B,6.0,$80,40 Reviews,Identity verified,Hasan javed,Joined in July 2016,1.0,Hasan Javed,Private room,https://www.airbnb.com/rooms/29663666
"Islamabad, Islamabad Capital Territory, Pakistan",No,kourwadan  penthouse,4.0,$68,0 Reviews,Identity not verified,Huzefa,Joined in January 2020,0.0,Huzefa,Private room,https://www.airbnb.com/rooms/41738309
"Rawalpindi, Punjab, Pakistan",No,LA CASA,4.0,$68,1 Review,Identity verified,Abdul aleem,Joined in January 2021,0.0,Abdul Aleem,Entire place,https://www.airbnb.com/rooms/47963990
"Karachi, Sindh, Pakistan",No,La chateaux inn,12.0,$59,3 Reviews,Identity verified,Umair,Joined in July 2017,1.0,Umair,Entire place,https://www.airbnb.com/rooms/53284435
"Islamabad, Islamabad Capital Territory, Pakistan",No,La'Oasis -  Furnished for you with Netflix/WiFi,2.0,$46,2 Reviews,Identity not verified,Mariam,Joined in August 2020,1.0,Mariam,Entire place,https://www.airbnb.com/rooms/44955315
"Lahore, Punjab, Pakistan",No,Lahore Hostel Johar Town,16.0,$11,0 Reviews,Identity verified,Azeem,Joined in July 2019,1.0,Azeem,Shared room,https://www.airbnb.com/rooms/38886216
"Lahore, Punjab, Pakistan",No,Lahore Hostel Wapda Town,4.0,$11,0 Reviews,Identity verified,Azeem,Joined in July 2019,1.0,Azeem,Shared room,https://www.airbnb.com/rooms/36350245
"Lahore, Punjab, Pakistan",No,Lahore House,1.0,$23,1 Review,Identity not verified,Faisal,Joined in July 2018,0.0,Faisal,Private room,https://www.airbnb.com/rooms/27335325
"Lahore, Punjab, Pakistan",No,Large Cosy room in a House on Canal bank,2.0,$27,0 Reviews,Identity verified,Tahir,Joined in July 2017,0.0,Tahir,Private room,https://www.airbnb.com/rooms/41712126
"Rawalpindi, Punjab, Pakistan",Yes,Lavish & Bright 1-Bedroom Apartment In Bahria Town,3.0,$45,119 Reviews,Identity verified,Ali,Joined in June 2019,1.0,Ali,Entire place,https://www.airbnb.com/rooms/41861682
"Karachi, Sindh, Pakistan",No,Lavish house,8.0,$41,0 Reviews,Identity verified,Sabir,Joined in April 2021,0.0,Sabir,Private room,https://www.airbnb.com/rooms/49020751
"Islamabad, Islamabad Capital Territory, Pakistan",No,leisure place,4.0,$67,0 Reviews,Identity verified,Waseem,Joined in September 2021,0.0,Waseem,Entire place,https://www.airbnb.com/rooms/52549008
"Lahore, Punjab, Pakistan",No,"Liberty market Gulberg3
Unpretentiously Luxurious",3.0,$34,1 Review,Identity verified,Sarosh,Joined in September 2019,0.0,Sarosh,Private room,https://www.airbnb.com/rooms/38567975
"Lahore, Punjab, Pakistan",No,Live like your own home,2.0,$22,2 Reviews,Identity verified,Husnain,Joined in August 2019,1.0,Husnain,Private room,https://www.airbnb.com/rooms/37969572
"Lahore, Punjab, Pakistan",No,Live like your own home 2,4.0,$34,2 Reviews,Identity verified,Husnain,Joined in August 2019,1.0,Husnain,Private room,https://www.airbnb.com/rooms/38044020
"Islamabad, Islamabad Capital Territory, Pakistan",No,Livin Hub Guest House,12.0,$51,5 Reviews,Identity verified,Saboor,Joined in January 2016,0.0,Saboor,Private room,https://www.airbnb.com/rooms/12785695
"Lahore, Punjab, Pakistan",No,Living with dignity,2.0,$51,0 Reviews,Identity not verified,Ehtisham,Joined in December 2017,0.0,Ehtisham,Private room,https://www.airbnb.com/rooms/22097253
"Karachi, Sindh, Pakistan",No,Located at one of the posh localities of the city,1.0,$29,0 Reviews,Identity verified,Arsalan,Joined in May 2019,0.0,Arsalan,Private room,https://www.airbnb.com/rooms/36252322
"Lahore, Punjab, Pakistan",No,Lovely 1 - Bedroom Rental Unit With Free Parking,2.0,$59,0 Reviews,Identity not verified,Abdul,Joined in May 2017,0.0,Abdul,Entire place,https://www.airbnb.com/rooms/51512730
"Lahore, Punjab, Pakistan",No,LOVELY 1 BED APARTMENT WITH SAFE CAR PARKING,3.0,$34,4 Reviews,Identity verified,Abdullah,Joined in May 2021,1.0,Abdullah,Entire place,https://www.airbnb.com/rooms/54136605
"Rawalpindi, Punjab, Pakistan",No,Lovely 1 Bed Deluxe Serviced Apartment,2.0,$74,3 Reviews,Identity verified,Malik,Joined in December 2021,0.0,Malik,Entire place,https://www.airbnb.com/rooms/54311753
"Lahore, Punjab, Pakistan",No,Lovely 1 bed rental Unit,2.0,$34,0 Reviews,Identity not verified,Muhammad,Joined in November 2021,0.5,Muhammad,Private room,https://www.airbnb.com/rooms/53364892
"Islamabad, Islamabad Capital Territory, Pakistan",No,"Lovely 1 bed room unit , where comfort is our first priority. it's a new place in my studio. I'll be hosting you.",4.0,$21,0 Reviews,Identity verified,Hunain,Joined in June 2021,1.0,Hunain,Private room,https://www.airbnb.com/rooms/52301816
"Islamabad, Islamabad Capital Territory, Pakistan",No,Lovely 1 bedroom condo with almost all basics,3.0,$74,0 Reviews,Identity verified,Fawaz,Joined in May 2021,0.0,Fawaz,Private room,https://www.airbnb.com/rooms/50480676
"Islamabad, Islamabad Capital Territory, Pakistan",Yes,LOVELY 1 BEDROOM IN ISLAMABAD,2.0,$45,67 Reviews,Identity verified,Muhammad,Joined in June 2021,1.0,Muhammad,Entire place,https://www.airbnb.com/rooms/51359582
"Rawalpindi, Punjab, Pakistan",No,Lovely 1 Bedroom Serviced Apartment with Balcony,2.0,$57,3 Reviews,Identity verified,Malik,Joined in December 2021,0.0,Malik,Entire place,https://www.airbnb.com/rooms/53889751
"Karachi, Sindh, Pakistan",No,Lovely 1 Bedroom with kitchen and drawing room,2.0,$46,3 Reviews,Identity verified,Agha,Joined in June 2021,0.0,Agha,Private room,https://www.airbnb.com/rooms/50543133
"Karachi, Sindh, Pakistan",No,Lovely 1 room with all facilities with home food.,4.0,$46,0 Reviews,Identity not verified,Agha,Joined in August 2017,0.0,Agha,Private room,https://www.airbnb.com/rooms/53938416
"Lahore, Punjab, Pakistan",No,Lovely 1-Bedroom Apartment for premium class,2.0,$54,2 Reviews,Identity verified,Bilal,Joined in December 2020,1.0,Bilal,Private room,https://www.airbnb.com/rooms/52080469
"Karachi, Sindh, Pakistan",No,Lovely 1-bedroom Rental Unit With Free Parking,2.0,$22,0 Reviews,Identity verified,Fida hussain,Joined in January 2022,0.8,Fida Hussain,Private room,https://www.airbnb.com/rooms/739789226939647700
"Islamabad, Islamabad Capital Territory, Pakistan",No,"Lovely 1. Bed appartment 
With basic facilities",3.0,$80,1 Review,Identity verified,Rimsha,Joined in December 2021,0.0,Rimsha,Entire place,https://www.airbnb.com/rooms/53726981
"Islamabad, Islamabad Capital Territory, Pakistan",No,lovely 2 bed rental unit with free parking,4.0,$67,0 Reviews,Identity verified,Abid,Joined in November 2021,0.0,Abid,Entire place,https://www.airbnb.com/rooms/53543055
"Islamabad, Islamabad Capital Territory, Pakistan",No,"lovely 2 Bed rooms with attached baths, Drawing room,  Kitchen and a wide lounge .Net and clean Apartment stricly for family, Bachlors are advised not to waste time .",8.0,$68,0 Reviews,Identity verified,Qaiser,Joined in June 2021,0.0,Qaiser,Entire place,https://www.airbnb.com/rooms/50366409
"Islamabad, Islamabad Capital Territory, Pakistan",No,Lovely 2 bedroom penthouse with a nice view.,4.0,$57,0 Reviews,Identity verified,Muhammad,Joined in December 2021,0.0,Muhammad,Entire place,https://www.airbnb.com/rooms/53917130
"Karachi, Sindh, Pakistan",No,lovely 2- bad room house in karachi,4.0,$18,1 Review,Identity verified,Aamir,Joined in September 2021,1.0,Aamir,Entire place,https://www.airbnb.com/rooms/52350488
"Islamabad, Islamabad Capital Territory, Pakistan",No,Lovely 2-bedroom condo in islamabad,8.0,$59,0 Reviews,Identity verified,Zar,Joined in May 2019,0.0,Zar,Entire place,https://www.airbnb.com/rooms/54218679
"Karachi, Sindh, Pakistan",No,Lovely 3 bed spacious apartment with sea view.,8.0,$74,4 Reviews,Identity verified,Aman,Joined in July 2019,0.9,Aman,Entire place,https://www.airbnb.com/rooms/54139247
"Islamabad, Islamabad Capital Territory, Pakistan",No,Lovely 3 Rooms Furnished Apartment | Tourist Inn,7.0,$51,1 Review,Identity verified,Azeem,Joined in January 2020,0.67,Azeem,Entire place,https://www.airbnb.com/rooms/53913919
"Lahore, Punjab, Pakistan",No,Lovely bedroom in a cottage house with chilled AC,2.0,$25,0 Reviews,Identity not verified,Muhammad,Joined in May 2021,0.0,Muhammad,Private room,https://www.airbnb.com/rooms/52301275
"Rawalpindi, Punjab, Pakistan",No,Lovely Luxe 1BR Hideout in Central Bahira Town,3.0,$56,162 Reviews,Identity verified,Junaid,Joined in September 2019,1.0,Junaid,Entire place,https://www.airbnb.com/rooms/52468972
"Islamabad, Islamabad Capital Territory, Pakistan",Yes,Lovely one bed apartment in E11/1 newly furnished,2.0,$22,8 Reviews,Identity verified,Imran,Joined in September 2016,1.0,Imran,Entire place,https://www.airbnb.com/rooms/46438299
"Lahore, Punjab, Pakistan",No,LOVELY ONE BED CONDO WITH FREE PARKING,3.0,$23,7 Reviews,Identity verified,Rana,Joined in September 2021,1.0,Rana,Entire place,https://www.airbnb.com/rooms/54311174
"Rawalpindi, Punjab, Pakistan",No,Lovely One bedroom apartment with Free car parking,2.0,$63,1 Review,Identity verified,Danish,Joined in May 2021,1.0,Danish,Entire place,https://www.airbnb.com/rooms/49921838
"Islamabad, Islamabad Capital Territory, Pakistan",No,Lovely private  1 bed apartment  with nice View,4.0,$23,0 Reviews,Identity not verified,Noorulhaque,Joined in March 2017,0.0,Noorulhaque,Entire place,https://www.airbnb.com/rooms/17889186
"Karachi, Sindh, Pakistan",No,Lovely space for family to spend vacation,2.0,$22,0 Reviews,Identity not verified,Zaheer,Joined in January 2022,0.0,Zaheer,Private room,https://www.airbnb.com/rooms/689078095438956700
"Islamabad, Islamabad Capital Territory, Pakistan",No,Lovely stylish 2 bedrooms furnished apartment,5.0,$47,31 Reviews,Identity verified,Waq,Joined in August 2017,1.0,Waq,Entire place,https://www.airbnb.com/rooms/48267284
"Islamabad, Islamabad Capital Territory, Pakistan",No,Lovely two Bed Apartment with free car park,5.0,$37,10 Reviews,Identity verified,Kamran,Joined in July 2019,1.0,Kamran,Entire place,https://www.airbnb.com/rooms/53353069
"Islamabad, Islamabad Capital Territory, Pakistan",No,Lovely Two bed Apartment with Lounge,6.0,$51,0 Reviews,Identity verified,Wasif,Joined in August 2021,1.0,Wasif,Entire place,https://www.airbnb.com/rooms/53214805
"Islamabad, Islamabad Capital Territory, Pakistan",No,Lovely Two Bedroom apartment in the heart of Islamabad,4.0,$68,0 Reviews,Identity verified,My,Joined in August 2021,0.0,My,Entire place,https://www.airbnb.com/rooms/52101287
"Islamabad, Islamabad Capital Territory, Pakistan",No,Lovely two bedroom apt with kitchen & tv lounge,4.0,$75,0 Reviews,Identity not verified,Munzar,Joined in September 2018,0.0,Munzar,Entire place,https://www.airbnb.com/rooms/50140884
"Islamabad, Islamabad Capital Territory, Pakistan",No,Lovely two bedroom with peaceful environment,4.0,$74,0 Reviews,Identity verified,Shahzaib,Joined in November 2020,0.0,Shahzaib,Entire place,https://www.airbnb.com/rooms/54239043
"Islamabad, Islamabad Capital Territory, Pakistan",No,"Lovely, fully-furnished 1 Bedroom Apartment ...",4.0,$24,5 Reviews,Identity verified,Nawaz,Joined in December 2021,1.0,Nawaz,Entire place,https://www.airbnb.com/rooms/53931908
"Lahore, Punjab, Pakistan",No,Lovely2bedroom condo with free parking on premises,4.0,$48,1 Review,Identity verified,Farhat,Joined in July 2022,0.6,Farhat,Entire place,https://www.airbnb.com/rooms/680358034193607800
"Islamabad, Islamabad Capital Territory, Pakistan",No,"Lower Ground Floor, 1 Bed Fully Independent & Pvt",3.0,$54,344 Reviews,Identity verified,Faizan,Joined in January 2017,1.0,Faizan,Entire place,https://www.airbnb.com/rooms/22752173
"Islamabad, Islamabad Capital Territory, Pakistan",Yes,Luxe Classic Gold themed 1B 65”TV Netflix-Wifi-101,3.0,$41,709 Reviews,Identity verified,Saami,Joined in April 2016,1.0,Saami,Entire place,https://www.airbnb.com/rooms/50146467
"Islamabad, Islamabad Capital Territory, Pakistan",Yes,Luxe Minimalist Gold Themed 1BHK Netflix-Wifi-View,3.0,$41,709 Reviews,Identity verified,Saami,Joined in April 2016,1.0,Saami,Entire place,https://www.airbnb.com/rooms/45465533
"Islamabad, Islamabad Capital Territory, Pakistan",No,luxe&spacious 2BHK family Apt washer/dryer/patio,6.0,$41,66 Reviews,Identity verified,Umar,Joined in September 2018,0.98,Umar,Entire place,https://www.airbnb.com/rooms/49086751
"Islamabad, Islamabad Capital Territory, Pakistan",No,Luxurious  family . servant quarter available also,6.0,$76,0 Reviews,Identity not verified,Irfan,Joined in November 2020,0.0,Irfan,Entire place,https://www.airbnb.com/rooms/48562594
"Islamabad, Islamabad Capital Territory, Pakistan",No,"Luxurious & Comfy 1BHK Apartment, Wifi & SmartTV",3.0,$40,75 Reviews,Identity verified,Shehroze,Joined in October 2021,1.0,Shehroze,Entire place,https://www.airbnb.com/rooms/53369649
"Karachi, Sindh, Pakistan",No,Luxurious 1 bedroom in Villa,2.0,$55,15 Reviews,Identity verified,Aisha,Joined in August 2021,1.0,Aisha,Private room,https://www.airbnb.com/rooms/52857847
"Rawalpindi, Punjab, Pakistan",Yes,Luxurious 1 BHK at Top location of Twin Cities!,4.0,$45,499 Reviews,Identity verified,Jawad,Joined in September 2017,0.99,Jawad,Entire place,https://www.airbnb.com/rooms/50399568
"Rawalpindi, Punjab, Pakistan",Yes,Luxurious 1BHK at Top location in Twin Cities,4.0,$45,499 Reviews,Identity verified,Jawad,Joined in September 2017,0.99,Jawad,Entire place,https://www.airbnb.com/rooms/49481211
"Rawalpindi, Punjab, Pakistan",Yes,Luxurious 1BHK at Top location of Twin Cities,3.0,$46,16 Reviews,Identity verified,Fawad,Joined in December 2021,1.0,Fawad,Entire place,https://www.airbnb.com/rooms/53730933
"Islamabad, Islamabad Capital Territory, Pakistan",Yes,Luxurious 1BHK at Top location of Twin Cities!,3.0,$50,499 Reviews,Identity verified,Jawad,Joined in September 2017,0.99,Jawad,Entire place,https://www.airbnb.com/rooms/53869024
"Rawalpindi, Punjab, Pakistan",Yes,Luxurious 2 Bed Apartment Bahria Town,6.0,$80,67 Reviews,Identity verified,Sohail,Joined in February 2018,1.0,Sohail,Entire place,https://www.airbnb.com/rooms/53543969
"Lahore, Punjab, Pakistan",No,Luxurious 2-Bedroom Home with Executive Lounge,6.0,$57,8 Reviews,Identity verified,Asif,Joined in July 2019,1.0,Asif,Entire place,https://www.airbnb.com/rooms/53634820
"Islamabad, Islamabad Capital Territory, Pakistan",Yes,Luxurious 2BHK at Top Location in Twin Cities!,8.0,$78,499 Reviews,Identity verified,Jawad,Joined in September 2017,0.99,Jawad,Entire place,https://www.airbnb.com/rooms/52000541
"Rawalpindi, Punjab, Pakistan",Yes,Luxurious 2BHK at Top Location of Twin Cities!,6.0,$71,499 Reviews,Identity verified,Jawad,Joined in September 2017,0.99,Jawad,Entire place,https://www.airbnb.com/rooms/54146271
"Lahore, Punjab, Pakistan",No,Luxurious 505,4.0,$46,73 Reviews,Identity verified,Maliha,Joined in April 2019,0.95,Maliha,Entire place,https://www.airbnb.com/rooms/39875182
"Lahore, Punjab, Pakistan",No,Luxurious 508,4.0,$57,73 Reviews,Identity verified,Maliha,Joined in April 2019,0.95,Maliha,Entire place,https://www.airbnb.com/rooms/41604432
"Lahore, Punjab, Pakistan",No,Luxurious 509,4.0,$46,73 Reviews,Identity verified,Maliha,Joined in April 2019,0.95,Maliha,Entire place,https://www.airbnb.com/rooms/41604004
"Lahore, Punjab, Pakistan",Yes,Luxurious Hide Out “02” Deluxe Family room in LHR.,2.0,$24,436 Reviews,Identity verified,Hassan,Joined in January 2020,1.0,Hassan,Private room,https://www.airbnb.com/rooms/43608654
"Lahore, Punjab, Pakistan",Yes,Luxurious Hide Out “3”. An economical living!,2.0,$23,436 Reviews,Identity verified,Hassan,Joined in January 2020,1.0,Hassan,Private room,https://www.airbnb.com/rooms/44136362
"Lahore, Punjab, Pakistan",Yes,"Luxurious Hideout ""07"": Work ""n"" Play(30 MB Wi-Fi)",2.0,$26,436 Reviews,Identity verified,Hassan,Joined in January 2020,1.0,Hassan,Private room,https://www.airbnb.com/rooms/49313656
"Lahore, Punjab, Pakistan",Yes,Luxurious Hideout 08- Hoppers Haven,2.0,$23,436 Reviews,Identity verified,Hassan,Joined in January 2020,1.0,Hassan,Private room,https://www.airbnb.com/rooms/53268732
"Lahore, Punjab, Pakistan",Yes,Luxurious Hideout| Close to everything,2.0,$23,436 Reviews,Identity verified,Hassan,Joined in January 2020,1.0,Hassan,Private room,https://www.airbnb.com/rooms/42878893
"Lahore, Punjab, Pakistan",No,Luxurious Landing soundproof 1B Condo,2.0,$25,85 Reviews,Identity verified,Muhammad uzair,Joined in October 2019,0.96,Muhammad Uzair,Entire place,https://www.airbnb.com/rooms/53993181
"Lahore, Punjab, Pakistan",No,Luxurious modern home in the heart of Lahore!,2.0,$57,0 Reviews,Identity verified,Nadia,Joined in March 2019,0.0,Nadia,Private room,https://www.airbnb.com/rooms/33408967
"Karachi, Sindh, Pakistan",No,"Luxurious place for guests, office environment.",4.0,$23,0 Reviews,Identity verified,Abdul qadeer,Joined in May 2020,0.0,Abdul Qadeer,Shared room,https://www.airbnb.com/rooms/43377803
